source_identity,form_key,plant_date,context_key,kind,field,source_value_type,reason,blocking,disposition
boiler-water-control-tests:019f4b93-0415-4646-8a78-119a0417cce4@local-48:2026-09-02|shift=Night|boiler=2,boiler-water-control-tests,2026-09-02,2026-09-02|shift=Night|boiler=2,accepted_omission,oh_alk,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
boiler-water-control-tests:019f4b93-0415-4646-8a78-119a0417cce4@local-48:2026-09-02|shift=Night|boiler=2,boiler-water-control-tests,2026-09-02,2026-09-02|shift=Night|boiler=2,accepted_omission,steam_total,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
boiler-water-control-tests:019f4b93-0415-4646-8a78-119a0417cce4@local-48:2026-09-02|shift=Night|boiler=2,boiler-water-control-tests,2026-09-02,2026-09-02|shift=Night|boiler=2,accepted_omission,makeup_total,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
boiler-water-control-tests:5dbf00d3-71f6-460b-aafc-64a37389a773@local-34:2026-09-05|shift=Day|boiler=2,boiler-water-control-tests,2026-09-05,2026-09-05|shift=Day|boiler=2,accepted_omission,oh_alk,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
boiler-water-control-tests:b6ac14a9-02e0-4e74-a284-76287084cd49@local-66:2026-09-05|shift=Night|boiler=2,boiler-water-control-tests,2026-09-05,2026-09-05|shift=Night|boiler=2,accepted_omission,oh_alk,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
boiler-water-control-tests:b6ac14a9-02e0-4e74-a284-76287084cd49@local-66:2026-09-05|shift=Night|boiler=2,boiler-water-control-tests,2026-09-05,2026-09-05|shift=Night|boiler=2,accepted_omission,steam_total,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
boiler-water-control-tests:b6ac14a9-02e0-4e74-a284-76287084cd49@local-66:2026-09-05|shift=Night|boiler=2,boiler-water-control-tests,2026-09-05,2026-09-05|shift=Night|boiler=2,accepted_omission,makeup_total,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
boiler-water-control-tests:b27c5fdb-662a-4c6a-afdd-fee9507178a4@local-64:2026-09-05|shift=Night|boiler=4,boiler-water-control-tests,2026-09-05,2026-09-05|shift=Night|boiler=4,accepted_omission,oh_alk,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
boiler-water-control-tests:79bbbc09-dca2-44d8-8d03-d2fc9cb39d38@local-53:2026-09-06|shift=Day|boiler=2,boiler-water-control-tests,2026-09-06,2026-09-06|shift=Day|boiler=2,accepted_omission,oh_alk,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
boiler-water-control-tests:148d8444-ab6a-466c-b2fd-06e45ee1827f@local-43:2026-09-06|shift=Night|boiler=2,boiler-water-control-tests,2026-09-06,2026-09-06|shift=Night|boiler=2,accepted_omission,oh_alk,number,Legacy calculated/display-only field is not imported; current rules recompute or derive it.,false,accepted
ecc-cooling-tower-water-control-tests:c8911f6a-db6a-45da-a451-67a2ba4d4d87@local-25:2026-09-05|shift=Night,ecc-cooling-tower-water-control-tests,2026-09-05,2026-09-05|shift=Night,approved_forced_transform,pump_sp_st,null,Approved exception: the formerly unparseable legacy Pump Sp/St candidate is forced to 75/60.,false,accepted
gas-turbine-log-sheet:b0a51df4-d78b-46c8-b2dc-d98bb3b4347a@local-91:2026-09-05|time=08:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=08:00,approved_slot_exclusion,time_slot,string,Source slot is outside the approved six legacy slots and is excluded entirely.,false,accepted
gas-turbine-log-sheet:3b6f5865-e368-4607-b4c8-d5cf478c17ce@local-96:2026-09-05|time=10:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=10:00,accepted_slot_mapping,time_slot,string,Approved historical slot 10:00 is mapped to canonical slot 11:00.,false,accepted
gas-turbine-log-sheet:3b6f5865-e368-4607-b4c8-d5cf478c17ce@local-96:2026-09-05|time=10:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=10:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:3b6f5865-e368-4607-b4c8-d5cf478c17ce@local-96:2026-09-05|time=10:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=10:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:b82ae3d2-0e17-4e69-b1d7-261cf8da3352@local-80:2026-09-05|time=12:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=12:00,approved_slot_exclusion,time_slot,string,Source slot is outside the approved six legacy slots and is excluded entirely.,false,accepted
gas-turbine-log-sheet:e1a863ee-e700-44d3-8b3c-0c3cf3a6af00@local-68:2026-09-05|time=14:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=14:00,accepted_slot_mapping,time_slot,string,Approved historical slot 14:00 is mapped to canonical slot 15:00.,false,accepted
gas-turbine-log-sheet:e1a863ee-e700-44d3-8b3c-0c3cf3a6af00@local-68:2026-09-05|time=14:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=14:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:e1a863ee-e700-44d3-8b3c-0c3cf3a6af00@local-68:2026-09-05|time=14:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=14:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:8afff50e-7b44-405b-8fb8-ed69ff7c3f25@local-82:2026-09-05|time=16:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=16:00,approved_slot_exclusion,time_slot,string,Source slot is outside the approved six legacy slots and is excluded entirely.,false,accepted
gas-turbine-log-sheet:d2797246-6c36-4a0a-b94c-547197afdc28@local-91:2026-09-05|time=18:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=18:00,accepted_slot_mapping,time_slot,string,Approved historical slot 18:00 is mapped to canonical slot 19:00.,false,accepted
gas-turbine-log-sheet:d2797246-6c36-4a0a-b94c-547197afdc28@local-91:2026-09-05|time=18:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=18:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:d2797246-6c36-4a0a-b94c-547197afdc28@local-91:2026-09-05|time=18:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=18:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:2b231ca3-3a0f-4c2b-a10a-99f8901a483f@local-82:2026-09-05|time=20:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=20:00,approved_slot_exclusion,time_slot,string,Source slot is outside the approved six legacy slots and is excluded entirely.,false,accepted
gas-turbine-log-sheet:6ad76251-28e6-44b2-ade3-1036fe2b1ec2@local-64:2026-09-05|time=22:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=22:00,accepted_slot_mapping,time_slot,string,Approved historical slot 22:00 is mapped to canonical slot 23:00.,false,accepted
gas-turbine-log-sheet:6ad76251-28e6-44b2-ade3-1036fe2b1ec2@local-64:2026-09-05|time=22:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=22:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:6ad76251-28e6-44b2-ade3-1036fe2b1ec2@local-64:2026-09-05|time=22:00,gas-turbine-log-sheet,2026-09-05,2026-09-05|time=22:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:c37c7f32-e106-4d55-b150-a2faefb43e31@local-88:2026-09-06|time=04:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=04:00,approved_slot_exclusion,time_slot,string,Source slot is outside the approved six legacy slots and is excluded entirely.,false,accepted
gas-turbine-log-sheet:6f00aeb0-d794-4cfa-a052-67a0df6dcd75@local-96:2026-09-06|time=06:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=06:00,accepted_slot_mapping,time_slot,string,Approved historical slot 06:00 is mapped to canonical slot 07:00.,false,accepted
gas-turbine-log-sheet:6f00aeb0-d794-4cfa-a052-67a0df6dcd75@local-96:2026-09-06|time=06:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=06:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:6f00aeb0-d794-4cfa-a052-67a0df6dcd75@local-96:2026-09-06|time=06:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=06:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:1d62671d-cc24-4da0-9701-c545a6b7330b@local-86:2026-09-06|time=10:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=10:00,accepted_slot_mapping,time_slot,string,Approved historical slot 10:00 is mapped to canonical slot 11:00.,false,accepted
gas-turbine-log-sheet:1d62671d-cc24-4da0-9701-c545a6b7330b@local-86:2026-09-06|time=10:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=10:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:1d62671d-cc24-4da0-9701-c545a6b7330b@local-86:2026-09-06|time=10:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=10:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:23e17053-c727-4465-9f8d-5ddfdb65238b@local-85:2026-09-06|time=12:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=12:00,approved_slot_exclusion,time_slot,string,Source slot is outside the approved six legacy slots and is excluded entirely.,false,accepted
gas-turbine-log-sheet:2b1129cc-5be7-4cd9-a558-b47674fcbf95@local-81:2026-09-06|time=14:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=14:00,accepted_slot_mapping,time_slot,string,Approved historical slot 14:00 is mapped to canonical slot 15:00.,false,accepted
gas-turbine-log-sheet:2b1129cc-5be7-4cd9-a558-b47674fcbf95@local-81:2026-09-06|time=14:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=14:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:2b1129cc-5be7-4cd9-a558-b47674fcbf95@local-81:2026-09-06|time=14:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=14:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:f8404aab-1ed6-4c10-a078-b5f00c02b110@local-82:2026-09-06|time=16:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=16:00,approved_slot_exclusion,time_slot,string,Source slot is outside the approved six legacy slots and is excluded entirely.,false,accepted
gas-turbine-log-sheet:bb02f9e9-be03-4ef6-94dd-6c45895e47e2@local-87:2026-09-06|time=18:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=18:00,accepted_slot_mapping,time_slot,string,Approved historical slot 18:00 is mapped to canonical slot 19:00.,false,accepted
gas-turbine-log-sheet:bb02f9e9-be03-4ef6-94dd-6c45895e47e2@local-87:2026-09-06|time=18:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=18:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:bb02f9e9-be03-4ef6-94dd-6c45895e47e2@local-87:2026-09-06|time=18:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=18:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:140c27ea-5e6d-4a59-a167-b6cf0378417b@local-93:2026-09-06|time=20:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=20:00,approved_slot_exclusion,time_slot,string,Source slot is outside the approved six legacy slots and is excluded entirely.,false,accepted
gas-turbine-log-sheet:db797e7f-09e6-483e-ab17-d0dfb6677622@local-84:2026-09-06|time=22:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=22:00,accepted_slot_mapping,time_slot,string,Approved historical slot 22:00 is mapped to canonical slot 23:00.,false,accepted
gas-turbine-log-sheet:db797e7f-09e6-483e-ab17-d0dfb6677622@local-84:2026-09-06|time=22:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=22:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:db797e7f-09e6-483e-ab17-d0dfb6677622@local-84:2026-09-06|time=22:00,gas-turbine-log-sheet,2026-09-06,2026-09-06|time=22:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:732e5c34-56b6-4e91-bc25-405b275c9cae@local-63:2026-09-07|time=00:00,gas-turbine-log-sheet,2026-09-07,2026-09-07|time=00:00,approved_slot_exclusion,time_slot,string,Source slot is outside the approved six legacy slots and is excluded entirely.,false,accepted
gas-turbine-log-sheet:3eb177ef-b1b3-4aac-b617-a9be54e26222@local-78:2026-09-07|time=02:00,gas-turbine-log-sheet,2026-09-07,2026-09-07|time=02:00,accepted_slot_mapping,time_slot,string,Approved historical slot 02:00 is mapped to canonical slot 03:00.,false,accepted
gas-turbine-log-sheet:3eb177ef-b1b3-4aac-b617-a9be54e26222@local-78:2026-09-07|time=02:00,gas-turbine-log-sheet,2026-09-07,2026-09-07|time=02:00,accepted_omission,gas_fuel_inlet_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
gas-turbine-log-sheet:3eb177ef-b1b3-4aac-b617-a9be54e26222@local-78:2026-09-07|time=02:00,gas-turbine-log-sheet,2026-09-07,2026-09-07|time=02:00,accepted_omission,gas_fuel_supply_pressure,number,Retired gas-fuel pressure field is intentionally omitted from the canonical Form 9 record.,false,accepted
integrator-readings:a2052216-ad0d-414d-81bc-c19e1d3cd09a@local-70:2026-09-02,integrator-readings,2026-09-02,2026-09-02,accepted_omission,oat_high,number,Form 8 OAT extrema are currently derived from Form 9 and are not imported.,false,accepted
integrator-readings:a2052216-ad0d-414d-81bc-c19e1d3cd09a@local-70:2026-09-02,integrator-readings,2026-09-02,2026-09-02,accepted_omission,oat_low,number,Form 8 OAT extrema are currently derived from Form 9 and are not imported.,false,accepted
integrator-readings:1f130ee6-ce33-40e3-b5a2-14d96c403dbe@local-55:2026-09-03,integrator-readings,2026-09-03,2026-09-03,accepted_omission,oat_high,number,Form 8 OAT extrema are currently derived from Form 9 and are not imported.,false,accepted
integrator-readings:1f130ee6-ce33-40e3-b5a2-14d96c403dbe@local-55:2026-09-03,integrator-readings,2026-09-03,2026-09-03,accepted_omission,oat_low,number,Form 8 OAT extrema are currently derived from Form 9 and are not imported.,false,accepted
integrator-readings:bcfcb1d6-51cb-4465-bf5e-4b9258a63740@local-76:2026-09-04,integrator-readings,2026-09-04,2026-09-04,accepted_omission,oat_high,number,Form 8 OAT extrema are currently derived from Form 9 and are not imported.,false,accepted
integrator-readings:bcfcb1d6-51cb-4465-bf5e-4b9258a63740@local-76:2026-09-04,integrator-readings,2026-09-04,2026-09-04,accepted_omission,oat_low,number,Form 8 OAT extrema are currently derived from Form 9 and are not imported.,false,accepted
integrator-readings:c76d78a8-6835-43ec-8023-2ac91cb1cfc4@local-60:2026-09-05,integrator-readings,2026-09-05,2026-09-05,accepted_omission,oat_high,number,Form 8 OAT extrema are currently derived from Form 9 and are not imported.,false,accepted
